case_id,source_id,kind,method,true_geometry_center,true_appearance_center,true_depth,true_multiplier,predicted_geometry_center,predicted_depth,predicted_multiplier,depth_absolute_error,whole_blade_rms_error,support_rms_error,local_rms_error,support_iou,display_threshold,eligible_area_recall,eligible_false_area_fraction
c000,9,healthy,joint,,,0.0,1.0,0,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c000,9,healthy,geometry_only,,,0.0,1.0,0,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c000,9,healthy,appearance_only,,,0.0,1.0,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c000,9,healthy,zero,,,0.0,1.0,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c001,9,dent,joint,0,,0.0005,1.0,0,0.00042627809014292555,0.9987462409522588,7.372190985707446e-05,8.708626366915439e-07,2.0260355280714254e-05,1.783330274601705e-05,0.9818181818181818,1e-05,0.981708233087784,0.0
c001,9,dent,geometry_only,0,,0.0005,1.0,0,0.00042648503088864797,1.0,7.351496911135204e-05,8.684180875996786e-07,2.020348358665897e-05,1.7783243893794943e-05,0.9818181818181818,1e-05,0.981708233087784,0.0
c001,9,dent,appearance_only,0,,0.0005,1.0,,0.0,0.9985118387973123,0.0005,5.9063993404629395e-06,0.00013741059113823577,0.00012094973781485673,0.0,1e-05,0.0,0.0
c001,9,dent,zero,0,,0.0005,1.0,,0.0,1.0,0.0005,5.9063993404629395e-06,0.00013741059113823577,0.00012094973781485673,0.0,1e-05,0.0,0.0
c002,9,dent,joint,0,,0.001,1.0,0,0.0009646559794866336,0.9994944323407111,3.5344020513366375e-05,4.175105892816896e-07,9.541984272328816e-06,8.374578036122224e-06,1.0,1e-05,1.0,0.0
c002,9,dent,geometry_only,0,,0.001,1.0,0,0.000964739426580088,1.0,3.526057341991199e-05,4.1652484568742385e-07,9.519455623474255e-06,8.35480563545572e-06,1.0,1e-05,1.0,0.0
c002,9,dent,appearance_only,0,,0.001,1.0,,0.0,0.9989639864988947,0.001,1.1812796209936629e-05,0.00026997521338221954,0.00023694532839304379,0.0,1e-05,0.0,0.0
c002,9,dent,zero,0,,0.001,1.0,,0.0,1.0,0.001,1.1812796209936629e-05,0.00026997521338221954,0.00023694532839304379,0.0,1e-05,0.0,0.0
c003,9,dent,joint,0,,0.002,1.0,0,0.0018754949255500703,0.9999992978975922,0.00012450507444992974,1.4707532797722209e-06,3.361328866988089e-05,2.950089992813349e-05,1.0,1e-05,1.0,0.0
c003,9,dent,geometry_only,0,,0.002,1.0,0,0.0018754950102961552,1.0,0.0001245049897038448,1.470752278683893e-06,3.3613265790536354e-05,2.9500879847942623e-05,1.0,1e-05,1.0,0.0
c003,9,dent,appearance_only,0,,0.002,1.0,,0.0,0.9992110035875509,0.002,2.362559481876427e-05,0.0005399504805353119,0.000473890704903909,0.0,1e-05,0.0,0.0
c003,9,dent,zero,0,,0.002,1.0,,0.0,1.0,0.002,2.362559481876427e-05,0.0005399504805353119,0.000473890704903909,0.0,1e-05,0.0,0.0
c004,9,dent,joint,1,,0.0005,1.0,1,0.0003796992104527399,0.9998522551758012,0.00012030078954726009,1.373045996282114e-06,3.223582663000494e-05,2.9385948050123328e-05,0.9814814814814815,1e-05,0.9815830211944724,0.0
c004,9,dent,geometry_only,1,,0.0005,1.0,1,0.00037971363978899923,1.0,0.00012028636021100078,1.3728813054809873e-06,3.223196008413329e-05,2.9382423335482054e-05,0.9814814814814815,1e-05,0.9815830211944724,0.0
c004,9,dent,appearance_only,1,,0.0005,1.0,,0.0,0.9997656937680874,0.0005,5.70678434417736e-06,0.00013398163132565628,0.00012213667184154302,0.0,1e-05,0.0,0.0
c004,9,dent,zero,1,,0.0005,1.0,,0.0,1.0,0.0005,5.70678434417736e-06,0.00013398163132565628,0.00012213667184154302,0.0,1e-05,0.0,0.0
c005,9,dent,joint,1,,0.001,1.0,1,0.0009500389220420171,0.9998290703604527,4.99610779579829e-05,5.702593304622957e-07,1.291974318407102e-05,1.2204697515916295e-05,0.9827586206896551,1e-05,0.9825348523733126,0.0
c005,9,dent,geometry_only,1,,0.001,1.0,1,0.0009501431801055061,1.0,4.985681989449391e-05,5.690693697983912e-07,1.289278354816438e-05,1.2179229962501573e-05,0.9827586206896551,1e-05,0.9825348523733126,0.0
c005,9,dent,appearance_only,1,,0.001,1.0,,0.0,0.9984355121772999,0.001,1.14136321629964e-05,0.0002585861674422655,0.0002442747021681826,0.0,1e-05,0.0,0.0
c005,9,dent,zero,1,,0.001,1.0,,0.0,1.0,0.001,1.14136321629964e-05,0.0002585861674422655,0.0002442747021681826,0.0,1e-05,0.0,0.0
c006,9,dent,joint,1,,0.002,1.0,1,0.0018472946495855414,1.0,0.00015270535041445868,1.7429111185537702e-06,3.850532213822101e-05,3.730180614814601e-05,1.0,1e-05,1.0,0.0
c006,9,dent,geometry_only,1,,0.002,1.0,1,0.0018472946495855414,1.0,0.00015270535041445868,1.7429111185537702e-06,3.850532213822101e-05,3.730180614814601e-05,1.0,1e-05,1.0,0.0
c006,9,dent,appearance_only,1,,0.002,1.0,,0.0,0.9995041656608623,0.002,2.2827210124391906e-05,0.0005043109072172526,0.0004885482443130066,0.0,1e-05,0.0,0.0
c006,9,dent,zero,1,,0.002,1.0,,0.0,1.0,0.002,2.2827210124391906e-05,0.0005043109072172526,0.0004885482443130066,0.0,1e-05,0.0,0.0
c007,9,dent,joint,2,,0.0005,1.0,2,0.0004789229046488897,0.9979586756605714,2.1077095351110296e-05,2.6351650022969705e-07,5.6394054485961825e-06,4.961117003954555e-06,1.0,1e-05,1.0,0.0
c007,9,dent,geometry_only,2,,0.0005,1.0,2,0.0004791292434160356,1.0,2.0870756583964405e-05,2.6093661529778344e-07,5.584194451959928e-06,4.9125465691080355e-06,1.0,1e-05,1.0,0.0
c007,9,dent,appearance_only,2,,0.0005,1.0,,0.0,0.9976078581924569,0.0005,6.251565890418255e-06,0.00013378703106203073,0.0001176956654133954,0.0,1e-05,0.0,0.0
c007,9,dent,zero,2,,0.0005,1.0,,0.0,1.0,0.0005,6.251565890418255e-06,0.00013378703106203073,0.0001176956654133954,0.0,1e-05,0.0,0.0
c008,9,dent,joint,2,,0.001,1.0,2,0.0009850282067152085,0.998268508904075,1.4971793284791497e-05,1.8720990295949815e-07,3.976053008961901e-06,3.5245240116174775e-06,1.0,1e-05,1.0,0.0
c008,9,dent,geometry_only,2,,0.001,1.0,2,0.0009852032272796316,1.0,1.4796772720368457e-05,1.850215957380374e-07,3.9295766641683695e-06,3.4833256496082026e-06,1.0,1e-05,1.0,0.0
c008,9,dent,appearance_only,2,,0.001,1.0,,0.0,0.9975469624961942,0.001,1.2503174615777093e-05,0.00026554849024794077,0.0002353921372626379,0.0,1e-05,0.0,0.0
c008,9,dent,zero,2,,0.001,1.0,,0.0,1.0,0.001,1.2503174615777093e-05,0.00026554849024794077,0.0002353921372626379,0.0,1e-05,0.0,0.0
c009,9,dent,joint,2,,0.002,1.0,2,0.0019675749733597528,1.0,3.242502664024729e-05,4.0543274198423237e-07,8.244448386269723e-06,7.632915843257698e-06,1.0,1e-05,1.0,0.0
c009,9,dent,geometry_only,2,,0.002,1.0,2,0.0019675749733597528,1.0,3.242502664024729e-05,4.0543274198423237e-07,8.244448386269723e-06,7.632915843257698e-06,1.0,1e-05,1.0,0.0
c009,9,dent,appearance_only,2,,0.002,1.0,,0.0,0.9996947686384274,0.002,2.5006336702689273e-05,0.0005085022307674136,0.0004707840386494779,0.0,1e-05,0.0,0.0
c009,9,dent,zero,2,,0.002,1.0,,0.0,1.0,0.002,2.5006336702689273e-05,0.0005085022307674136,0.0004707840386494779,0.0,1e-05,0.0,0.0
c010,10,healthy,joint,,,0.0,1.0,0,2.5142173002095166e-06,1.0,2.5142173002095166e-06,2.9368826402338556e-08,,,,1e-05,,0.0
c010,10,healthy,geometry_only,,,0.0,1.0,0,2.5142173002095166e-06,1.0,2.5142173002095166e-06,2.9368826402338556e-08,,,,1e-05,,0.0
c010,10,healthy,appearance_only,,,0.0,1.0,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c010,10,healthy,zero,,,0.0,1.0,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c011,10,dent,joint,0,,0.0005,1.0,0,0.000418355138460933,0.999867997016312,8.1644861539067e-05,9.53703983360719e-07,2.218834804909337e-05,1.9810724110138927e-05,0.9636363636363636,1e-05,0.9636438535469811,0.0
c011,10,dent,geometry_only,0,,0.0005,1.0,0,0.00041836575875486164,1.0,8.163424124513837e-05,9.53579926634273e-07,2.2185461814167828e-05,1.9808147153741023e-05,0.9636363636363636,1e-05,0.9636438535469811,0.0
c011,10,dent,appearance_only,0,,0.0005,1.0,,0.0,0.9997674687495985,0.0005,5.840552637695761e-06,0.00013588305578809452,0.00012132231696087156,0.0,1e-05,0.0,0.0
c011,10,dent,zero,0,,0.0005,1.0,,0.0,1.0,0.0005,5.840552637695761e-06,0.00013588305578809452,0.00012132231696087156,0.0,1e-05,0.0,0.0
c012,10,dent,joint,0,,0.001,1.0,0,0.0009471431400566948,0.9997924234343365,5.2856859943305255e-05,6.174261650433933e-07,1.4236221201176122e-05,1.282542552769164e-05,1.0,1e-05,1.0,0.0
c012,10,dent,geometry_only,0,,0.001,1.0,0,0.0009471415743789166,1.0,5.2858425621083436e-05,6.174444538836155e-07,1.4236642893653637e-05,1.2825805430863126e-05,1.0,1e-05,1.0,0.0
c012,10,dent,appearance_only,0,,0.001,1.0,,0.0,0.9995169516566246,0.001,1.1681100909491702e-05,0.00026933541574595865,0.00024264454323150975,0.0,1e-05,0.0,0.0
c012,10,dent,zero,0,,0.001,1.0,,0.0,1.0,0.001,1.1681100909491702e-05,0.00026933541574595865,0.00024264454323150975,0.0,1e-05,0.0,0.0
c013,10,dent,joint,0,,0.002,1.0,0,0.001872876384316056,1.0,0.00012712361568394397,1.4849401496857547e-06,3.3643707502258225e-05,3.0845776193393786e-05,0.9827586206896551,1e-05,0.982551237651122,0.0
c013,10,dent,geometry_only,0,,0.002,1.0,0,0.001872876384316056,1.0,0.00012712361568394397,1.4849401496857547e-06,3.3643707502258225e-05,3.0845776193393786e-05,0.9827586206896551,1e-05,0.982551237651122,0.0
c013,10,dent,appearance_only,0,,0.002,1.0,,0.0,0.9993486555582677,0.002,2.3362198490151525e-05,0.0005293081819657909,0.00048528901731517997,0.0,1e-05,0.0,0.0
c013,10,dent,zero,0,,0.002,1.0,,0.0,1.0,0.002,2.3362198490151525e-05,0.0005293081819657909,0.00048528901731517997,0.0,1e-05,0.0,0.0
c014,10,dent,joint,1,,0.0005,1.0,1,0.0003670373692381578,0.9998922918911627,0.0001329626307618422,1.4984686631083745e-06,3.655434302658278e-05,3.182636184275719e-05,0.96,1e-05,0.9602258699759433,0.0
c014,10,dent,geometry_only,1,,0.0005,1.0,1,0.0003670448488540308,1.0,0.0001329551511459692,1.4983843681631116e-06,3.6552286696879594e-05,3.1824571480705916e-05,0.96,1e-05,0.9602258699759433,0.0
c014,10,dent,appearance_only,1,,0.0005,1.0,,0.0,0.9998908002415242,0.0005,5.63496387982478e-06,0.00013746191153399368,0.00011968244903977719,0.0,1e-05,0.0,0.0
c014,10,dent,zero,1,,0.0005,1.0,,0.0,1.0,0.0005,5.63496387982478e-06,0.00013746191153399368,0.00011968244903977719,0.0,1e-05,0.0,0.0
